Proyecto,"Venta, Casa",Holanda Townhouses,"Avenida Holanda 2770, Providencia",85.79,111.88,7224,,8850.0,9790.0,
Proyecto,"Venta, Casa",Townhouse Los Robles,"Santa Julia 224, Ñuñoa",113.36,125.71,7741,,8533.0,10186.0,
Propiedad usada,"Venta, Casa","Brown Norte/ Simón Bolívar, Ñuñoa",,155.0,260.0,4399240,10700.0,,,3D/1B
Propiedad usada,"Venta, Casa","PLaza Ñuñoa, Ñuñoa",,260.0,400.0,4140213,14900.0,,,6D/4B
Propiedad usada,"Venta, Casa","Eduardo Castillo Velasco, Ñuñoa",,250.0,500.0,4249852,17739.3,,,4D/3B
Propiedad usada,"Venta, Casa","BEATLE ORDOÑEZ / LICENCIADO LAS PEÑAS, Ñuñoa",,168.0,342.0,4374524,12.8,,,
Propiedad usada,"Venta, Casa","Villa Frei, Ñuñoa",,70.0,240.0,4398707,5100.0,,,3D/2B
Propiedad usada,"Venta, Casa","Av Manuel Montt/Irarrazabal, Ñuñoa",,152.0,192.0,4484283,5441.5,,,3D/1B
Propiedad usada,"Venta, Casa","socaire 4136, Ñuñoa",,158.0,220.0,4487303,5622.91,,,4D/2B
Propiedad usada,"Venta, Casa","Simon Bolivar / Holanda, Ñuñoa",,110.0,150.0,4485750,6457.2,,,4D/3B
Propiedad usada,"Venta, Casa","Simón Bolívar/Campoamor/Holanda/Chile Es, Ñuñoa",,99.0,110.0,4399975,6520.1,,,4D/3B
Propiedad usada,"Venta, Casa","CAMPOAMOR / Av. HOLANDA, Ñuñoa",,100.0,110.0,3958417,6529.8,,,4D/3B
Propiedad usada,"Venta, Casa","Plaza Ñuñoa / Chile - España, Ñuñoa",,82.0,82.0,4402146,6700.0,,,3D/2B
Propiedad usada,"Venta, Casa","Plaza Ñuñoa - Plaza Ñuñoa, Ñuñoa",,82.0,100.0,4410402,6711.2,,,3D/2B
Propiedad usada,"Venta, Casa","Chile España, Ñuñoa",,135.0,120.0,4152875,6728.2,,,4D
Propiedad usada,"Venta, Casa","DUBLE ALMEYDA  / JUAN ENRIQUE CONCHA, Ñuñoa",,88.0,100.0,4395590,6734.8,,,3D/2B
Propiedad usada,"Venta, Casa","PUCARA / HAMBURGO, Ñuñoa",,120.0,150.0,4442155,6900.0,,,5D/2B
Propiedad usada,"Venta, Casa","HOLANDA  / CAMPOAMOR, Ñuñoa",,110.0,150.0,4283311,6940.0,,,4D/3B
Propiedad usada,"Venta, Casa","Casa en Condominio a 1 cuadra del Metro y a dos de Plaza Ñuñoa, Ñuñoa",,110.0,115.0,4289573,7037.7,,,4D/2B
Propiedad usada,"Venta, Casa","Nicanor Marambio / Augusto Villanueva, Ñuñoa",,123.0,100.0,4393607,7105.0,,,5D/4B
Propiedad usada,"Venta, Casa","RAMON CRUZ/ DUBLE ALMEYDA, Ñuñoa",,95.0,210.0,4413194,7266.0,,,4D/1B
Propiedad usada,"Venta, Casa","Augusto Villanueva / Av.Irarrazaval, Ñuñoa",,123.0,140.0,4463652,7375.0,,,5D/4B
Propiedad usada,"Venta, Casa","Augusto Villanueva 141, Ñuñoa",,123.0,123.0,4372721,7375.0,,,4D/2B
Propiedad usada,"Venta, Casa","Esquina Holanda, Ñuñoa",,112.0,103.0,4465323,7600.0,,,4D/3B
Propiedad usada,"Venta, Casa","Cercana a futura linea metro Ramón Cruz, Ñuñoa",,116.0,100.0,4455811,7813.0,,,3D/2B
Propiedad usada,"Venta, Casa","JUAN MOYA / LOS ALMENDROS, Ñuñoa",,140.0,249.0,4393822,8009.7,,,3D/3B
Propiedad usada,"Venta, Casa","Los Cerezos 133, Ñuñoa",,139.0,310.0,3855962,8350.3,,,4D/2B
Propiedad usada,"Venta, Casa","José Domingo Cañas /  Metro Ñuñoa, Ñuñoa",,172.0,260.0,4438417,8903.2,,,3D/2B
Propiedad usada,"Venta, Casa","JOSE DOMINGO CAÑAS/DUBLÉ ALMEYDA, Ñuñoa",,170.0,258.0,4434178,8906.7,,,3D/2B
Propiedad usada,"Venta, Casa","JOSE DOMINGO CAÑAS/DUBLÉ ALMEYDA, Ñuñoa",,170.0,258.0,4435621,8906.7,,,3D/2B
Propiedad usada,"Venta, Casa","Pucará con Coventry, Ñuñoa",,106.0,250.0,4462703,9074.0,,,3D/3B
Propiedad usada,"Venta, Casa","Plaza Ñuñoa, Ñuñoa",,112.0,94.0,3759596,9121.3,,,3D/3B
Propiedad usada,"Venta, Casa","Av. Holanda 3390, Ñuñoa",,220.0,320.0,4330282,9200.0,,,3D/2B
Propiedad usada,"Venta, Casa","Simón Bolivar / Holanda, Ñuñoa",,210.0,316.0,4402573,9287.6,,,3D/2B
Propiedad usada,"Venta, Casa","Brown Sur con Galicia, Ñuñoa",,129.0,409.0,4468644,9442.0,,,3D/2B
Propiedad usada,"Venta, Casa","Campus Oriente, Ñuñoa",,130.0,330.0,3710777,9536.7,,,3D/1B
Propiedad usada,"Venta, Casa","LOS JARDINES  / LOS ALMENDROS, Ñuñoa",,157.0,286.0,4462373,9600.0,,,4D/2B
Propiedad usada,"Venta, Casa","Propiedad a pasos del parque Juan XXIII., Ñuñoa",,175.0,298.0,4451487,9600.0,,,5D/3B
Propiedad usada,"Venta, Casa","esquina Luis Pereira, Ñuñoa",,248.0,218.0,3901125,9995.0,,,6D/4B
Propiedad usada,"Venta, Casa","Entre irarrázaval y dublé almeyda, Ñuñoa",,181.0,236.0,4150130,9998.7,,,4D/3B
Propiedad usada,"Venta, Casa","Los Agustino / Av.Ossa, Ñuñoa",,158.0,219.0,4238325,10100.0,,,5D/4B
Propiedad usada,"Venta, Casa","José Domingo Cañas 3100, Ñuñoa",,141.0,256.0,4065627,10161.6,,,3D/2B
Propiedad usada,"Venta, Casa","Plaza Ñuñoa - Plaza Ñuñoa, Ñuñoa",,120.0,236.0,4185404,10215.9,,,3D/2B
Propiedad usada,"Venta, Casa","Jose Domingo Cañas / Jose Pedro Alessandri, Ñuñoa",,140.0,260.0,3479890,10234.8,,,3D/2B
Propiedad usada,"Venta, Casa","Irarrazaval/Juan Enrique Concha, Ñuñoa",,181.0,236.0,4318800,10236.9,,,3D/2B
Propiedad usada,"Venta, Casa","José Domingo Cañas 3084, Ñuñoa",,141.0,256.0,3911955,10292.1,,,3D/2B
Propiedad usada,"Venta, Casa","Pedro hemrick ling / Galicia, Ñuñoa",,112.0,400.0,3664210,10299.1,,,4D/2B
Propiedad usada,"Venta, Casa","Propiedad de dos pisos con salida direct, Ñuñoa",,197.0,430.0,4271765,10500.0,,,7D/3B
Propiedad usada,"Venta, Casa","Tobalaba / Diego Almagro, Ñuñoa",,155.0,260.0,4364710,10580.7,,,3D/2B
Propiedad usada,"Venta, Casa","Eliecer Parada / Jaime Guzmán Errázuriz, Ñuñoa",,155.0,260.0,4302539,10700.0,,,3D/1B
Propiedad usada,"Venta, Casa","Cercano al Campus Oriente de la UC, Ñuñoa",,155.0,260.0,4468638,10700.0,,,4D/2B
Propiedad usada,"Venta, Casa","5 dormitorios, Parque Juan XXIII, Ñuñoa",,210.0,270.0,3972031,10884.2,,,5D/3B
Propiedad usada,"Venta, Casa","Cercano a futura Estación de metro ""Chile-España"", Ñuñoa",,240.0,270.0,4468647,10884.5,,,6D/3B
Propiedad usada,"Venta, Casa","ECHEÑIQUE/LUIS PEREIRA PF, Ñuñoa",,200.0,250.0,4437815,10901.9,,,6D/4B
Propiedad usada,"Venta, Casa","Irarrazabal / Plaza Ñuñoa, Ñuñoa",,237.0,263.0,4315310,10925.0,,,5D/3B
Propiedad usada,"Venta, Casa","Francisco de Villagra, Ñuñoa",,140.0,300.0,3702628,10930.8,,,3D/1B
Propiedad usada,"Venta, Casa","Eduardo Castillo Velasco, Ñuñoa",,170.0,390.0,3392157,10953.5,,,3D/2B
Propiedad usada,"Venta, Casa","LOS JARDINES-CASTILLO VELASCO 430, Ñuñoa",,210.0,278.0,3563747,10956.7,,,5D/3B
Propiedad usada,"Venta, Casa","Eduardo Castillo Velasco 0, Ñuñoa",,170.0,390.0,3911078,10965.5,,,3D/2B
Propiedad usada,"Venta, Casa","Edo. Castillo Velasco / Dr. Johow, Ñuñoa",,160.0,400.0,4416653,11000.0,,,5D/3B
Propiedad usada,"Venta, Casa","DR. JOHOW, EDUARDO CASTILLO V, Ñuñoa",,153.0,403.0,4315841,11000.0,,,4D/3B
Propiedad usada,"Venta, Casa","Santa Julia 00, Ñuñoa",,140.0,425.0,4325969,11050.0,,,3D/2B
Propiedad usada,"Venta, Casa","Brown Sur con Galicia con Departamento Independiente, Ñuñoa",,112.0,403.0,4468653,11050.0,,,3D/2B
Propiedad usada,"Venta, Casa","PARQUE JUAN XXIII, Ñuñoa",,160.0,210.0,3894940,11100.0,,,6D/4B
Propiedad usada,"Venta, Casa","Curanipe con Ortúzar, Ñuñoa",,170.0,263.0,4357032,11128.0,,,5D/4B
Propiedad usada,"Venta, Casa","Parque Juan XXIII - Parque Juan XXIII, Ñuñoa",,160.0,210.0,3911111,11132.0,,,5D/3B
Propiedad usada,"Venta, Casa","Echeñique  / Garcia Moreno, Ñuñoa",,228.0,255.0,3821306,11285.9,,,6D/4B
Propiedad usada,"Venta, Casa","Hermosa casa en Simón Bolívar., Ñuñoa",,110.0,310.0,3651807,11300.0,,,3D/3B
Propiedad usada,"Venta, Casa","EDUARDO CASTILLO VELASCO  / LOS TALAVERAS, Ñuñoa",,133.0,318.0,4419874,11454.6,,,4D/2B
Propiedad usada,"Venta, Casa","eduardo castillo velasco, Ñuñoa",,215.0,264.0,3804401,11500.0,,,4D/2B
Propiedad usada,"Venta, Casa","Eliecer Parada / El Bosque, Ñuñoa",,117.0,240.0,3091759,11500.0,,,3D/1B
Propiedad usada,"Venta, Casa","Eduardo Castillo Velasco/Galicia, Ñuñoa",,150.0,450.0,4462976,11500.0,,,3D/1B
Propiedad usada,"Venta, Casa","Pedro de valdivia / Avda Grecia, Ñuñoa",,110.0,334.0,4442111,11608.5,,,3D/2B
Propiedad usada,"Venta, Casa","Dublé Almeyda/Brown Sur, Ñuñoa",,273.0,381.0,4425699,11616.3,,,6D/3B
Propiedad usada,"Venta, Casa","Brown Sur, Ñuñoa",,273.0,381.0,4451300,11617.8,,,6D/3B
Propiedad usada,"Venta, Casa","LOS CEREZOS, Ñuñoa",,150.0,310.0,4443616,11627.1,,,3D/2B
Propiedad usada,"Venta, Casa","Brown Norte/Julio zegers, Ñuñoa",,123.0,237.0,4436123,11631.7,,,4D/3B
Propiedad usada,"Venta, Casa","GRAN CASA PARA USO DE OFICINA, COMERCIAL O RESIDENCIAL CERCANA A FUTURA ESTACIÓN METRO CHILE ESPAÑA, Ñuñoa",,240.0,270.0,4264492,11650.0,,,6D/3B
Propiedad usada,"Venta, Casa","iIRARRAZABAL/PLAZA NUÑOA, Ñuñoa",,237.0,263.0,4374777,11671.9,,,4D/2B
Propiedad usada,"Venta, Casa","Brown Norte / Irarrazaval / Ñuñoa, Ñuñoa",,161.0,237.0,4369932,11700.0,,,4D/3B
Propiedad usada,"Venta, Casa","¡Atención Inversionistas!, Ñuñoa",,153.0,403.0,3654083,12000.0,,,4D/2B
Propiedad usada,"Venta, Casa","Santa Julia 641, Ñuñoa",,140.0,450.0,4040452,12040.0,,,3D/2B
Propiedad usada,"Venta, Casa","GALICIA / SANTA JULIA, Ñuñoa",,140.0,450.0,4443631,12344.0,,,3D/1B
Propiedad usada,"Venta, Casa","Avenida Echeñique 4078, Providencia",,240.0,230.0,3462303,12374.0,,,5D/3B
Propiedad usada,"Venta, Casa","Echeñique  / Eliecer Parada, Ñuñoa",,260.0,512.0,4458812,12380.0,,,8D/4B
Propiedad usada,"Venta, Casa","Avda. Echeñique / García Moreno, Ñuñoa",,265.0,512.0,4351153,12388.0,,,8D/4B
Propiedad usada,"Venta, Casa","Echenique-Eliecer Parada, Ñuñoa",,250.0,512.0,4443648,12400.0,,,8D/4B
Propiedad usada,"Venta, Casa","Parque Botánico - García Moreno - Echeñi, Ñuñoa",,218.0,512.0,4360088,12800.0,,,6D/4B
Propiedad usada,"Venta, Casa","Casa Hernando de Aguirre, Ñuñoa",,172.0,388.0,4452207,13000.0,,,5D/3B
Propiedad usada,"Venta, Casa","Exequiel Fernandez / José Domingo Cañas, Ñuñoa",,160.0,300.0,4422778,13000.0,,,3D/2B
Propiedad usada,"Venta, Casa","Acogedora propiedad, Ñuñoa",,120.0,400.0,3651137,13000.0,,,4D/2B
Propiedad usada,"Venta, Casa","Diego de Almagro, Providencia",,130.0,416.0,3713815,13000.0,,,4D/3B
Propiedad usada,"Venta, Casa","Excelente casa para re-modelar., Ñuñoa",,192.0,290.0,4388780,13000.0,,,4D/2B
Propiedad usada,"Venta, Casa","Holanda/Jaime Guzman Errázuriz, Providencia",,180.0,480.0,4413422,13266.4,,,4D/3B
Propiedad usada,"Venta, Casa","Sagrados Corazones / Chile España, Providencia",,180.0,360.0,3646151,13304.6,,,4D/3B
Propiedad usada,"Venta, Casa","MONTENEGRO-ECHEÑIQUE, Ñuñoa",,170.0,378.0,4443629,13443.8,,,4D/2B
Propiedad usada,"Venta, Casa","a una cuadra de Jose Pedro Alessandri, c, Ñuñoa",,165.0,395.0,4275319,13629.0,,,3D/4B
Propiedad usada,"Venta, Casa","EDUARDO CASTILLO VICUÑA/HOLANDA, Providencia",,180.0,480.0,4345100,13700.0,,,4D/3B
Propiedad usada,"Venta, Casa","Metro Inés de Suárez, Providencia",,210.0,465.0,3755868,13705.0,,,4D/3B
Propiedad usada,"Venta, Casa","HOLANDA / PEDRO LAUTARO FERRER, Providencia",,134.0,434.0,3389914,13840.3,,,5D/4B
Propiedad usada,"Venta, Casa","Metro Inés de Suárez, Providencia",,173.0,435.0,3755863,13864.4,,,4D/4B
Propiedad usada,"Venta, Casa","Holanda / Pedro Lautaro Ferrer, Providencia",,195.0,440.0,4315375,13874.1,,,5D/3B
Propiedad usada,"Venta, Casa","Avenida Holanda 2850, Providencia",,197.0,434.0,3784019,13890.1,,,5D/4B
Propiedad usada,"Venta, Casa","HOLANDA - PROVIDENCIA, Providencia",,197.0,443.0,4186178,13900.0,,,5D/4B
Propiedad usada,"Venta, Casa","Parque Botánico - Eliecer Parada, Ñuñoa",,177.0,330.0,4175206,13900.0,,,4D/2B
Propiedad usada,"Venta, Casa","Av. Presidente Jose Battle Y Ordoñez/Sim, Ñuñoa",,177.0,333.0,4377721,13900.0,,,4D/2B
Propiedad usada,"Venta, Casa","José Blatle y Ordoñez, Ñuñoa",,177.0,333.0,4400292,13900.0,,,4D/1B
Propiedad usada,"Venta, Casa","Batle y Ordoñez / Campus Oriente UC / Ñuñoa, Ñuñoa",,177.0,333.0,4267833,13900.0,,,4D/2B
Propiedad usada,"Venta, Casa","Excelente casa Campus Oriente, Ñuñoa",,170.0,333.0,4235433,13900.0,,,4D/2B
Propiedad usada,"Venta, Casa","Diagonal Oriente (J Battle Ordoñez), Ñuñoa",,213.0,408.0,4483382,13966.5,,,5D/2B
Propiedad usada,"Venta, Casa","LINDA CASA EN ÑUÑOA, Ñuñoa",,329.17,375.0,4445844,14000.0,,,5D/3B
Propiedad usada,"Venta, Casa","HOLANDA - DIAGONAL ORIENTE (JAIME GUZMÁN ERRÁZURIZ), Providencia",,197.0,434.0,4101779,14000.0,,,4D/4B
Propiedad usada,"Venta, Casa","Acogedora casa Monseñor Eyzaguirre, Ñuñoa",,215.0,500.0,4449871,14150.0,,,3D/1B
Propiedad usada,"Venta, Casa","entre Echeñique y Simon Bolivar, Ñuñoa",,132.0,432.0,4286667,14191.3,,,5D/3B
Propiedad usada,"Venta, Casa","Simón Bolivar/Echeñique, Ñuñoa",,132.0,432.0,4279450,14233.4,,,5D/3B
Propiedad usada,"Venta, Casa","Avenida Echeñique 0, Ñuñoa",,270.0,480.0,3461701,14330.9,,,5D/4B
Propiedad usada,"Venta, Casa","Vicente Reyes / Colegio Calasanz, Ñuñoa",,148.0,340.0,4465558,14336.0,,,3D/2B
Propiedad usada,"Venta, Casa","Brown Sur, Ñuñoa",,252.0,450.0,4475844,14510.7,,,3D/4B
Propiedad usada,"Venta, Casa","Julio Zegers/Brown Norte, Ñuñoa",,201.0,518.0,4478017,14510.7,,,4D/3B
Propiedad usada,"Venta, Casa","Luís Pereira - Echeñique, Ñuñoa",,210.0,500.0,4087722,14584.7,,,5D/4B
Propiedad usada,"Venta, Casa","GRAN CASA EN CORAZÓN DE ÑUÑOA, POSIBILIDADES COMERCIALES, CERCANA A FUTURA ESTACIÓN METRO CHILE ESPAÑA DE METRO., Ñuñoa",,240.0,270.0,4258058,14600.0,,,6D/3B
Propiedad usada,"Venta, Casa","GRAN CASA EN CORAZÓN DE ÑUÑOA, POSIBILIDADES COMERCIALES, CERCANA A FUTURA ESTACIÓN METRO CHILE ESPAÑA., Ñuñoa",,240.0,270.0,4264506,14600.0,,,6D/3B
Propiedad usada,"Venta, Casa","Casa típica chilena cercana a plaza ñuño, Ñuñoa",,210.0,518.0,4399785,14600.0,,,5D/3B
Propiedad usada,"Venta, Casa","Pedro Torres / Simón Bolivar, Ñuñoa",,200.0,516.0,4475257,14700.0,,,6D/4B
Propiedad usada,"Venta, Casa","Simón Bolivar  / Pedro Torres, Ñuñoa",,195.0,516.0,4363469,14700.0,,,5D/4B
Propiedad usada,"Venta, Casa","Simón Bolívar/ Echeñique, Ñuñoa",,195.0,516.0,4149755,14700.0,,,5D/3B
Propiedad usada,"Venta, Casa","Hermosa propiedad en zona privilegiada, Ñuñoa",,190.0,460.0,3705826,14950.0,,,7D/3B
Propiedad usada,"Venta, Casa","Garcia Moreno / Jaime Errazuriz, Ñuñoa",,280.0,480.0,4482136,14950.0,,,7D/4B
Propiedad usada,"Venta, Casa","a pasos de Campus Oriente UC, Ñuñoa",,170.0,548.0,4326220,14990.0,,,4D/3B
Propiedad usada,"Venta, Casa","Cercano Echeñique, Providencia",,230.0,500.0,4131013,15000.0,,,5D/4B
Propiedad usada,"Venta, Casa","Pdte. Batlle Ordoñez/Pedro Torres, Ñuñoa",,280.0,480.0,3675284,15000.0,,,6D/4B
Propiedad usada,"Venta, Casa","EXTRAORDINARIA CASA REMODELADA EN BARRIO TRADICIONAL DE ÑUÑOA, Ñuñoa",,301.0,396.0,3530780,15200.0,,,5D/4B
Propiedad usada,"Venta, Casa","BROWN SUR/LOS ALMENDROS, Ñuñoa",,252.0,450.0,4460654,15244.3,,,3D/4B
Propiedad usada,"Venta, Casa","Sector Duble Almeyda - Plaza Ñuñoa, Ñuñoa",,180.0,450.0,4442888,15260.6,,,4D/3B
Propiedad usada,"Venta, Casa","Montenegro/Irarrazabal, Ñuñoa",,290.0,500.0,4436136,15448.4,,,4D/2B
Propiedad usada,"Venta, Casa","Oportunidad-gran terreno familiar, Ñuñoa",,277.0,644.0,4376138,15500.0,,,5D/4B
Propiedad usada,"Venta, Casa","Casa cercana a Metro Simón Bolivar, Ñuñoa",,260.0,388.8,4446442,15600.0,,,5D/7B
Propiedad usada,"Venta, Casa","Metro Ñuñoa - Simón Bolívar/Chile España, Ñuñoa",,251.0,426.0,4250264,15600.0,,,4D/3B
Propiedad usada,"Venta, Casa","Chile España, Ñuñoa",,250.0,426.0,3914600,15600.0,,,4D/3B
Propiedad usada,"Venta, Casa","Chile Espana / Irarrázabal, Ñuñoa",,251.0,426.0,4293987,15600.0,,,5D/3B
Propiedad usada,"Venta, Casa","Cercano a Plaza Ñuñoa, Ñuñoa",,252.0,450.0,4468643,15601.1,,,4D/4B
Propiedad usada,"Venta, Casa","Avenida Echeñique 4006, Ñuñoa",,220.0,450.0,4332922,15730.0,,,5D/4B
Propiedad usada,"Venta, Casa","Parque Botánico - Echeñique - Simón Bolí, Ñuñoa",,277.0,644.0,4322626,15800.0,,,4D/3B
Propiedad usada,"Venta, Casa","Ñuñoa, Echeñique – Luis Pereira, casa aislada con cinco dormitorios, cuatro baños, cinco estacionamientos. Se Vende., Ñuñoa",,270.0,644.0,4370695,15800.0,,,5D/4B
Propiedad usada,"Venta, Casa","Brown NOrte, Ñuñoa",,177.0,488.0,4326577,15800.0,,,3D/2B
Propiedad usada,"Venta, Casa","Brown Norte / Av. Simón Bolivar, Ñuñoa",,248.0,498.0,4334472,15990.0,,,7D/4B
Propiedad usada,"Venta, Casa","eliecer parada / los sagrados corazones, Providencia",,167.0,436.0,4025675,16000.0,,,4D/3B
Propiedad usada,"Venta, Casa","BROWN NORTE/ OPORTUNIDAD, Ñuñoa",,239.0,495.0,4344572,16050.0,,,7D/4B
Propiedad usada,"Venta, Casa","Simón Bolivar/Eliecer Parada, Ñuñoa",,248.0,500.0,4441189,16075.0,,,7D/5B
Propiedad usada,"Venta, Casa","Brown Norte / Julio Zegers, Ñuñoa",,201.0,518.0,4070707,16276.0,,,4D/3B
Propiedad usada,"Venta, Casa","ECHEÑIQUE/MONTENEGRO, Ñuñoa",,168.0,445.0,4210927,16461.8,,,5D/3B
Propiedad usada,"Venta, Casa","Av. Echeñique/Eliecer Parada, Ñuñoa",,168.0,445.0,4397620,16500.0,,,4D/2B
Propiedad usada,"Venta, Casa","Parque Botánico - Av Echeñique, Ñuñoa",,168.0,445.0,4210003,16500.0,,,5D/3B
Propiedad usada,"Venta, Casa","Ñuñoa / Barrio Residencial/ 3D - 4B - Sala Estar / Excelente, Ñuñoa",,252.0,450.0,4360977,16600.0,,,3D/4B
Propiedad usada,"Venta, Casa","Luis Pereira // Pucura, Ñuñoa",,252.0,575.0,4422878,16800.0,,,7D/6B
Propiedad usada,"Venta, Casa","Tobalaba / Diego Almagro, Ñuñoa",,265.0,524.0,3794489,17545.5,,,5D/3B
Propiedad usada,"Venta, Casa","Clásica casa en sector residencial, Ñuñoa",,250.0,512.0,3959250,17676.0,,,8D/4B
Propiedad usada,"Venta, Casa","Los Talaveras  / Eduardo Castillo Velasco, Ñuñoa",,250.0,500.0,4022722,17739.3,,,4D/3B
Propiedad usada,"Venta, Casa","Gran Casa cercana Plaza Ñuñoa, Ñuñoa",,250.0,500.0,4300535,17739.3,,,4D/2B
Propiedad usada,"Venta, Casa","Los Talaveras, Ñuñoa",,250.0,500.0,4287608,17739.3,,,4D/3B
Propiedad usada,"Venta, Casa","Los Talaveras, Ñuñoa",,250.0,500.0,4287607,17739.3,,,4D/3B
Propiedad usada,"Venta, Casa","Los Talaveras con  Eduardo Castillo Velasco, Ñuñoa",,250.0,450.0,4269640,17740.0,,,5D/4B
Propiedad usada,"Venta, Casa","Echeñique, Ñuñoa",,174.0,502.0,3501562,17850.0,,,4D/2B
Propiedad usada,"Venta, Casa","Simon Bolivar/Jorge Washington, Ñuñoa",,190.0,500.0,4487135,18138.4,,,3D/2B
Propiedad usada,"Venta, Casa","Echeñique/Elicer Parada, Ñuñoa",,200.0,450.0,4207754,18368.2,,,5D/3B
Propiedad usada,"Venta, Casa","Montenegro, Ñuñoa",,352.0,559.0,4265767,19000.0,,,8D/4B
Propiedad usada,"Venta, Casa","Hernán Cortés con Holanda, Ñuñoa",,400.0,400.0,4179982,19800.0,,,4D/2B
Propiedad usada,"Venta, Casa","CASA EN SECTOR RESIDENCIAL DE ÑUÑOA, Ñuñoa",,428.0,635.0,4475122,19952.2,,,5D/7B
Propiedad usada,"Venta, Casa","Espectacular Casa Chilena sector residencial!, Ñuñoa",,383.0,635.0,4466597,19957.5,,,6D/8B
Propiedad usada,"Venta, Casa","Casa Oficina/Brown Norte/Simón Bolívar, Ñuñoa",,275.0,783.0,4478033,19990.0,,,14D/7B
Propiedad usada,"Venta, Casa","Eduardo Castillo Velasco - Irarrazaval - Plaza Ñuñoa, Ñuñoa",,250.0,500.0,4066654,20088.2,,,5D/4B
Propiedad usada,"Venta, Casa","Hernán Cortés 3278, Ñuñoa",,285.0,300.0,4278491,20271.0,,,3D/2B
Propiedad usada,"Venta, Casa","Chile España/Av. Holanda, Ñuñoa",,282.0,300.0,4349431,20272.0,,,4D/2B
Propiedad usada,"Venta, Casa","HOLANDA / HERNAN CORTES, Ñuñoa",,285.0,300.0,4472163,20283.0,,,4D/2B
Propiedad usada,"Venta, Casa","Maravillosa casa y amplio patio, en barrio residencial Providencia, Providencia",,122.0,600.0,4483677,22491.6,,,4D/4B
Propiedad usada,"Venta, Casa","Eliecer Parada, Providencia",,200.0,765.0,4416086,26000.0,,,9D/4B
Propiedad usada,"Venta, Casa","Sagrados Corazones, Providencia",,250.0,600.0,3773050,26297.3,,,3D/4B
Propiedad usada,"Venta, Casa","Julio Zegers- Pedro Torres, Ñuñoa",,270.0,445.0,4481684,27207.6,,,5D/5B
Propiedad usada,"Venta, Casa","ECHEÑIQUE - ELIECER PARADA, Providencia",,186.0,800.0,4399075,28000.0,,,7D/4B
Propiedad usada,"Venta, Casa","CHILE ESPAÑA, Ñuñoa",,140.0,1000.0,4463444,45000.0,,,4D/3B
Propiedad usada,"Venta, Casa","IRARRÁZABAL, Ñuñoa",,135.0,120.0,4442341,6721.9,,,4D/3B
Propiedad usada,"Venta, Casa","Avenida Eliécer Parada 953, Ñuñoa",,86.0,171.0,4351941,8800.0,,,3D/2B
Propiedad usada,"Venta, Casa","Irarrazabal, Ñuñoa",,172.0,258.0,4485784,8888.0,,,3D/2B
Propiedad usada,"Venta, Casa",Ñuñoa,,106.0,250.0,4460193,9075.2,,,3D/3B
Propiedad usada,"Venta, Casa","Brown Sur, Ñuñoa",,156.0,425.0,4444978,11000.0,,,4D/3B
